car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,lat,lon,lat_rad,lon_rad
C18,BLK 426/428 CLEMENTI AVE 3,20215.8784,32729.9597,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1.312265463,103.7633744,0.022903353,1.811012526
C18A,BLK 426/427 CLEMENTI AVE 3,20306.3068,32672.9468,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,1.311749884,103.764187,0.022894354,1.811026709
C20,BLK 449-451 CLEMENTI AVE 3,20425.9232,32848.95,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.313341615,103.7652617,0.022922135,1.811045466
C20M,BLK 462A CLEMENTI AVENUE 3,20469.2131,32645.0967,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.311498059,103.7656508,0.022889959,1.811052257
C21L,BLK 454 TO 460 CLEMENTI AVE 3,20624.0039,32590.9865,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,1.311008745,103.7670417,0.022881419,1.811076533
C21M,BLK 455A CLEMENTI AVE 3,20566.6991,32662.4476,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.311654997,103.7665267,0.022892698,1.811067544
C22M,BLK 109A CLEMENTI ST 11,20977.2537,33777.6046,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.321740126,103.7702155,0.023068717,1.811131926
C24,BLK 110/118 CLEMENTI STREET 13,21096.4707,34048.6484,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.324191364,103.7712867,0.023111499,1.811150622
C25,BLK 101-104 CLEMENTI STREET 14,20848.1597,33849.0783,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.322386475,103.7690555,0.023079998,1.81111168
C26,BLK 105-107 CLEMENTI STREET 12,20945.3775,33870.6421,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.322581512,103.7699291,0.023083402,1.811126927
C27,BLK 108/109 CLEMENTI STREET 11,21010.3372,33832.437,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.322236015,103.7705128,0.023077372,1.811137115
C28,BLK 201/206 CLEMENTI AVENUE 6,20211.495,33712.5638,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.321151737,103.7633348,0.023058448,1.811011835
C29,BLK 501-505 WEST COAST DRIVE,19754.8437,32767.8945,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.31260841,103.7592318,0.022909339,1.810940224
C29A,BLK 503 WEST COAST DRIVE,19749.6211,32629.2695,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.31135474,103.7591849,0.022887458,1.810939406
C3M,BLK 416A CLEMENTI AVE 1,20967.8189,32458.1382,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.309807399,103.770131,0.022860452,1.811130451
C3ML,"BLK 419, 420 AND 420A CLEMENTI AVE 1",20852.22,32522.1809,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,1.310386549,103.7690923,0.02287056,1.811112322
C30,BLK 507-509 WEST COAST DRIVE,19998.4863,32640.0059,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.311451901,103.7614211,0.022889154,1.810978435
C31,BLK 510/511 WEST COAST ROAD,19907.0039,32541.0547,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.310557002,103.7605991,0.022873535,1.810964088
C32,BLK 514-519 WEST COAST ROAD,19738.0729,32326.8057,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.308619376,103.7590812,0.022839717,1.810937596
C33,BLK 601-613 CLEMENTI WEST STREET 1,20603.5028,31877.1704,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.304553274,103.7668576,0.02276875,1.81107332
C34,BLK 702/703 WEST COAST ROAD,19944.5184,32148.1942,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,NO,1.30700414,103.7609363,0.022811526,1.810969973
C35,BLK 704-714 CLEMENTI WEST STREET 2,20000.4883,31993.6074,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.305606134,103.7614392,0.022787126,1.810978751
C36,BLK 728/729 CLEMENTI WEST STREET 2,20236.2232,31960.1377,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.305303507,103.7635574,0.022781844,1.81101572
C37,"BLK 720-727,730-731 CLEMENTI WEST STREET 2",20282.323,31764.2687,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.303532158,103.7639717,0.022750928,1.811022951
C38,BLK 715-717 CLEMENTI WEST STREET 2,20121.5156,31683.3711,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.302800512,103.7625268,0.022738158,1.810997733
C39,CLEMENTI SPORTS COMPLEX,20089.6113,32510.9746,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.310285017,103.7622399,0.022868788,1.810992725
C4M,BLK 413A COMMONWEALTH AVENUE WEST,21009.1656,32642.4126,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.311473912,103.7705025,0.022889538,1.811136935
C40,WEST COAST LINK,20260.6211,31481.0996,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.300971285,103.7637768,0.022706232,1.811019549
C41,CLEMENTI WOODS,20797.769,31374.2132,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.300004776,103.7686033,0.022689364,1.811103788
C5,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",20905.8297,32821.8286,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.313096455,103.7695739,0.022917857,1.811120728
C6,BLK 328-334 CLEMENTI AVE 2,20696.2978,32975.0306,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.314481903,103.7676912,0.022942037,1.811087869
C7,BLK 349-355 CLEMENTI AVE 2,21017.6263,33014.2438,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.314836606,103.7705785,0.022948228,1.811138262
C8,BLK 335/338 CLEMENTI AVE 2,20800.9102,33216.8047,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.316668436,103.7686311,0.022980199,1.811104273
C9,BLK 340/342/343/346-348 CLEMENTI AVE 5,20988.0194,33324.5654,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.317643023,103.7703123,0.022997209,1.811133615
DRM1,BLK 104C DEPOT ROAD,25576.6096,29218.1692,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.280507106,103.8115435,0.022349065,1.811853236
DRM2,BLK 112C DEPOT ROAD,25165.8976,29305.1091,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.281293322,103.8078531,0.022362787,1.811788826
DRM3,108A DEPOT ROAD,25390.1316,29254.1321,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.280832325,103.8098679,0.022354741,1.811823991
DRS,BLK 102A/102B DEPOT ROAD,25737.908,29213.3689,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,1.280463706,103.8129928,0.022348308,1.811878531
DUXM,BLK 1 CANTONMENT ROAD,28860.8985,28827.1925,BASEMENT CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1.276971348,103.8410541,0.022287354,1.812368293
DWST,BLK 89A DAWSON ROAD,25624.1711,30843.9601,MULTI-STOREY CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,1.295210121,103.8119707,0.022605681,1.811860692
DWSV,BLK 85 DAWSON ROAD,25362.2059,30853.9755,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,YES,1.295300675,103.8096169,0.022607262,1.81181961
ECM,BLK 31A EUNOS CRESCENT,35602.0712,33587.8309,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.320023751,103.9016271,0.023038761,1.813425491
EC2,BLK 12-25 EUNOS CRESCENT,35915.3437,33873.7578,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.322609479,103.9044421,0.02308389,1.813474622
EC3,BLK 5-8/11/4A EUNOS CRESCENT,35919.0977,33712.4297,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.321150492,103.9044758,0.023058426,1.81347521
EC4,BLK 1-3/1A EUNOS CRESCENT,35720.628,33641.6254,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.320510217,103.9026924,0.023047251,1.813444084
EC5,BLK 9-10 EUNOS CRESCENT,35717.5859,33809.3711,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,1.322027242,103.9026652,0.023073728,1.813443609
EC7,BLK 842-848 SIMS AVENUE,35601.9233,33339.4481,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1.317777477,103.9016257,0.022999556,1.813425467
EC7T,BLK 842 TO 848 SIM AVENUE,35625.1072,33420.8287,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,1.318513444,103.9018341,0.023012401,1.813429104
EC8,BLK 2A EUNOS MRT SIMS AVENUE,35778.02,33499.0305,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.319220632,103.9032081,0.023024744,1.813453085
EI1,BLK 1001-1085 EUNOS INDUSTRIAL ESTATE,35070.0793,33964.0908,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.323426622,103.896847,0.023098152,1.813342063
EI3,BLK 410/411/414-417 EUNOS ROAD 5,35240.6635,33456.9535,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.318840236,103.8983797,0.023018104,1.813368813
EPL,BLK 1/7 EVERTON PARK,28733.8679,28847.7781,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,1.277157519,103.8399127,0.022290604,1.812348372
EPM,BLK 6A EVERTON ROAD,28622.0835,28739.5121,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.276178406,103.8389082,0.022273515,1.81233084
FRM,BLK 808 FRENCH ROAD MSCP,31121.2668,32341.4155,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.308752449,103.8613647,0.022842039,1.81272278
FR2C,BLK 3/4 QUEEN'S ROAD,25150.3008,33394.0586,COVERED CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.318272162,103.8077126,0.02300819,1.811786374
FR2S,BLK 2/3/4 QUEEN'S ROAD,25091.4622,33354.5073,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.31791447,103.8071839,0.023001947,1.811777146
FR3M,BLK 8A EMPRESS ROAD,24983.1434,33218.9585,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.31668861,103.8062106,0.022980551,1.811760159
FR4M,BLK 6A FARRER ROAD,25130.4814,33238.9594,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.316869505,103.8075345,0.022983709,1.811783265
GBM,BLK 60A GEYLANG BAHRU,31930.2182,33890.9953,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.322766141,103.8686337,0.023086624,1.812849648
GEM,BLK 118 ALJUNIED AVE 2,34041.285,33588.5472,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.320030577,103.8876027,0.02303888,1.813180719
GEML,BLK 118 ALJUNIED AVE 2,34068.7879,33577.593,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,1.319931506,103.8878498,0.023037151,1.813185032
GE1A,BLK 99-106/111-112 ALJUNIED CRESCENT,33577.7747,33572.0259,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.319881253,103.8834378,0.023036274,1.813108028
GE1B,BLK 114-117 ALJUNIED AVENUE 2,33973.3743,33717.7668,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.3211992,103.8869925,0.023059276,1.813170069
GE1C,BLK 119 ALJUNIED CRESCENT,33896.2141,33557.8016,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.319752554,103.8862991,0.023034027,1.813157967
GE1D,BLK 1005-1012 ALJUNIED CRESCENT,34214.9727,33789.4883,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.321847773,103.8891634,0.023070596,1.813207958
GE1E,BLK 109-110 ALJUNIED CRESCENT,33687.9721,33553.6719,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.319715246,103.884428,0.023033376,1.81312531
GE1F,BLK 107-108 ALJUNIED CRESCENT,33666.5701,33497.1087,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.319203715,103.8842356,0.023024448,1.813121952
GE1G,BLK 95 & 113 ALJUNIED CRESCENT,33897.2922,33690.8917,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.320956167,103.8863088,0.023055034,1.813158136
GE2,BLK 120 TO 123 GEYLANG EAST CENTRAL,33733.7656,33357.2852,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.317939195,103.8848394,0.023002378,1.81313249
GE3,BLK 124 TO 128 GEYLANG EAST AVE 1,34014.6484,33308.1484,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.317494767,103.8873633,0.022994622,1.813176541
GE4,1013 - 1016 GEYLANG EAST GEYLANG EAST AVE 3,34345.1223,33399.4875,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,NO,1.318320735,103.8903328,0.023009037,1.813228368
GE5,BLK 129-134 GEYLANG EAST AVE 1/2,34037.1328,33202.9687,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.31654356,103.8875653,0.02297802,1.813180066
GMLM,BLK 24 GHIM MOH LINK,22713.9209,32338.0954,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,1.308722128,103.7858206,0.02284151,1.811404286
GM1A,BLK 2A GHIM MOH ROAD,22839.1276,32761.1881,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.312548431,103.7869456,0.022908292,1.811423921
GM1B,BLK 5A GHIM MOH RD,22985.4178,32794.201,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.312847011,103.7882601,0.022913503,1.811446864
GM1M,31A GHIM MOH LINK,22552.3566,32407.3317,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.309348246,103.7843689,0.022852438,1.811378949
GM2,BLK 7/8/9 GHIM MOH ROAD,22974.2865,32655.7823,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.311595206,103.7881601,0.022891655,1.811445118
GM2A,BLK 8A GHIM MOH RD,22871.4655,32582.4372,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.310931885,103.7872362,0.022880078,1.811428993
GM3,BLK 19/20 GHIM MOH ROAD,23051.41,32606.52,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.31114971,103.7888531,0.022883879,1.811457213
GM5,BLK 21 GHIM MOH ROAD,23013.32,32520.93,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.310375662,103.7885108,0.02287037,1.811451239
GM6A,BLK 13A GHIM MOH RD,23037.5082,32416.9618,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,1.309435418,103.7887282,0.022853959,1.811455034
GM6B,BLK 16A GHIM MOH ROAD,22917.7735,32435.7026,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.309604883,103.7876523,0.022856917,1.811436256
GSM,BLK 2 GEYLANG SERAI,35236.2639,33275.6378,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.317200491,103.8983401,0.022989485,1.813368122
GSML,BLK 2 GEYLANG SERAI,35252.7807,33256.2338,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,1.317025005,103.8984885,0.022986423,1.813370712
HCM,BLK 104A HENDERSON CRESCENT,26691.3633,30161.685,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.289039957,103.8215599,0.022497991,1.812028055
HDBH,BLK 480 480 LORONG 6 TOA PAYOH,29669.4119,34933.9237,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.332198178,103.8483192,0.023251244,1.812495093
HE1,BLK 102/103/104 HENDERSON CRESCENT,26779.8906,30181.1562,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.28921605,103.8223554,0.022501065,1.812041939
HE12,BLK 78/81 REDHILL LANE,26367.5806,30069.2434,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.288203936,103.8186506,0.0224834,1.811977278
HE14,BLK 115 BUKIT MERAH VIEW,26768.4355,29793.2871,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.285708315,103.8222525,0.022439843,1.812040143
HE17,BLK 93/96 HENDERSON RD,26561.0277,29871.6493,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.286416983,103.8203888,0.022452212,1.812007615
HE19,ALEXANDRA RD,26627.3867,30326.9473,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.290534521,103.8209851,0.022524077,1.812018023
HE22,BLK 105 HENDERSON RD,26834.7218,30269.4645,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.290014678,103.8228481,0.022515004,1.812050538
HE24,BLK 116 BUKIT MERAH VIEW,26627.4121,29677.5937,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.284662023,103.8209853,0.022421582,1.812018026
HE3,BLK 116/117 BUKIT MERAH VIEW,26708.25,29683.2227,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.284712933,103.8217117,0.022422471,1.812030704
HE4,BLK 121/122 & 127 BUKIT MERAH VIEW,26827.4609,29545.2148,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.283464849,103.8227829,0.022400687,1.8120494
HE9,BLK 118/119 BUKIT MERAH VIEW,26650.6074,29571.3613,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.2837013,103.8211938,0.022404814,1.812021665
HG1,"BLK 1,2,6,7 HOUGANG AVE 3",34773.983,38245.6192,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.362147106,103.8941874,0.023773952,1.813295644
HG1A,470 UPPER SERANGOON CRESCENT,35616.0645,40064.9884,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.378600538,103.9017545,0.024061118,1.813427715
HG1B,475 UPPER SERANGOON CRESCENT,35497.5223,39745.8425,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.375714343,103.9006892,0.024010745,1.813409122
HG1C,476 UPP SERANGOON VIEW,35832.2431,39922.6654,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,1.37731337,103.903697,0.024038653,1.813461618
HG1D,376 HOUGANG ST 32,34765.7308,38421.4154,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.363736938,103.8941133,0.0238017,1.813294351
HG10,BLK 101-108 HOUGANG AVENUE 1,34361.8201,37404.5949,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.354541313,103.8904836,0.023641206,1.813231
HG11,BLK 301-319 HOUGANG AVENUE 5,34862.2295,38666.4192,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.365952631,103.8949804,0.023840371,1.813309484
HG12,BLK 320-324 HOUGANG AVENUE 5,35216.1904,38747.8164,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.36668867,103.898161,0.023853217,1.813364996
HG13,BLK 325/326 HOUGANG AVENUE 7,35261.0156,38873.8796,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.367828724,103.8985638,0.023873115,1.813372026
HG14,"BLK 327-328,332-334,358-363 HOUGANG AVENUE 5",35023.2798,39024.5479,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.369191364,103.8964277,0.023896897,1.813334744
HG15,BLK 208-210 HOUGANG STREET 21,33942.0874,37892.5664,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.358954418,103.8867122,0.023718229,1.813165177
HG16,BLK 211-212 HOUGANG STREET 21,34095.5904,37977.2274,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.359720026,103.8880915,0.023731591,1.81318925
HG17,BLK 231/233/235/237 HOUGANG STREET 21,34080.7076,37750.4416,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.35766907,103.8879577,0.023695795,1.813186915
HG18,BLK 230/232/234/236/238 HOUGANG AVENUE 1,34191.1758,37792.5508,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.358049866,103.8889504,0.023702442,1.813204241
HG19,BLK 138-145 LORONG AH SOO,33657.293,37209.668,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.352778615,103.884153,0.023610441,1.81312051
HG2,BLK 15-18 HOUGANG AVE 3,34533.3906,38329.9531,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.362909842,103.8920255,0.023787264,1.813257912
HG2A,BLK 473 UPP SERANGOON CRESCENT,35501.0297,39817.8795,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.376365815,103.9007208,0.024022115,1.813409673
HG2B,BLK 933 HOUGANG AVENUE 9,33468.3697,39724.6803,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.375523408,103.8824558,0.024007412,1.813090889
HG2C,BLK 364 / 365 UPP SERANGOON RD,35114.7541,39120.7933,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,1.370061747,103.8972496,0.023912088,1.813349089
HG2D,"BLK 581,582 AND 582A BUANGKOK GREEN",34017.7016,40155.1817,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,1.379416581,103.8873921,0.024075361,1.813177043
HG20,BLK 128-137 LORONG AH SOO,33910.4258,36933.0703,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.350277127,103.8864275,0.023566782,1.813160208
HG22,BLK 154-157 HOUGANG STREET 11,33243.2373,37175.2101,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.352467067,103.8804324,0.023605003,1.813055574
HG23,BLK 239-246 HOUGANG STREET 22,34480.0781,37732.4375,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.357506164,103.8915463,0.023692952,1.813249548
HG24,BLK 247-254 HOUGANG AVENUE 3,34482.3008,37981.2891,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.359756677,103.8915664,0.023732231,1.813249899
HG25,BLK 205 HOUGANG STREET 21,33961.8596,37988.3801,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.359820914,103.8868899,0.023733352,1.813168278
HG26,BLK 335-341 HOUGANG AVENUE 7,35293.1914,39057.5898,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.369490116,103.898853,0.023902112,1.813377074
HG29,BLK 351-357 HOUGANG AVENUE 7,35324.4922,39364.3516,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.372264338,103.8991343,0.023950531,1.813381984
HG30,BLK 464-468 HOUGANG AVENUE 10,35083.1678,39473.6275,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.373252644,103.8969659,0.02396778,1.813344138
